date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2023-01-03,100000.0,100000.0,0,0.0,164.89012145996094,4.322108576775174
2023-01-04,99950.68278503417,50633.46781921385,5,-0.049317214965838296,166.68528747558594,5.457867968163832
2023-01-05,98489.02354431151,50633.46781921385,5,-1.5109764556884953,165.45458984375,4.6792344706759526
2023-01-06,99053.02195739745,50633.46781921385,5,-0.9469780426025531,166.7963409423828,5.528128889305939
2023-01-09,99524.44956970213,50633.46781921385,5,-0.47555043029786637,162.4748992919922,2.7940542154042625
2023-01-10,99896.86778259276,50633.46781921385,5,-0.10313221740724243,162.0862579345703,2.5481699530396806
2023-01-11,101386.49699401854,50633.46781921385,5,1.3864969940185379,161.82717895507812,2.3842567653408864
2023-01-12,101976.31358337401,50633.46781921385,5,1.9763135833740009,161.01284790039062,1.8690486258091443
2023-01-13,102131.31327819823,50633.46781921385,5,2.1313132781982214,160.48536682128906,1.5353237312005108
2023-01-17,102372.41160583495,50633.46781921385,5,2.3724116058349454,159.49522399902344,0.9088836140101808
2023-01-18,101395.1108856201,50633.46781921385,5,1.3951108856200989,157.08929443359375,-0.6132915359048918
2023-01-19,100559.87895202635,50633.46781921385,5,0.5598789520263603,156.87646484375,-0.7479438206108746
2023-01-20,102344.42485046385,50633.46781921385,5,2.3444248504638443,156.1454620361328,-1.2104321345920432
2023-01-23,102852.44639587401,50633.46781921385,5,2.8524463958740087,155.74752807617188,-1.4621956084124643
2023-01-24,102736.21257019042,50633.46781921385,5,2.7362125701904105,155.74752807617188,-1.4621956084124643
2023-01-25,102428.37840270995,50633.46781921385,5,2.428378402709952,156.85797119140625,-0.759644320256958
2023-01-26,103965.80658203123,103965.80658203123,0,3.9658065820312283,156.2842559814453,-1.1226204639808057
2023-01-27,103965.80658203123,103965.80658203123,0,3.9658065820312283,155.67347717285156,-1.5090458763847958
2023-01-30,103965.80658203123,103965.80658203123,0,3.9658065820312283,149.90850830078125,-5.156406332480312
2023-01-31,103965.80658203123,103965.80658203123,0,3.9658065820312283,151.22250366210938,-4.3250723171970655
2023-02-01,103965.80658203123,103965.80658203123,0,3.9658065820312283,152.61056518554688,-3.446878380063889
2023-02-02,103965.80658203123,103965.80658203123,0,3.9658065820312283,153.18431091308594,-3.083882928584858
2023-02-03,103965.80658203123,103965.80658203123,0,3.9658065820312283,152.32371520996094,-3.62836162498702
2023-02-06,103965.80658203123,103965.80658203123,0,3.9658065820312283,151.1669921875,-4.360193123890532
2023-02-07,103965.80658203123,103965.80658203123,0,3.9658065820312283,151.2040252685547,-4.336763162965562
2023-02-08,103965.80658203123,103965.80658203123,0,3.9658065820312283,151.39834594726562,-4.213821031783271
2023-02-09,103965.80658203123,103965.80658203123,0,3.9658065820312283,149.35330200195312,-5.5076723226804685
2023-02-10,103965.80658203123,103965.80658203123,0,3.9658065820312283,150.04730224609375,-5.068594661869074
2023-02-13,103965.80658203123,103965.80658203123,0,3.9658065820312283,150.6025390625,-4.717309363913724
2023-02-14,103965.80658203123,103965.80658203123,0,3.9658065820312283,149.94552612304688,-5.132986025432951
2023-02-15,103965.80658203123,103965.80658203123,0,3.9658065820312283,147.4748077392578,-6.69615153961971
2023-02-16,103965.80658203123,103965.80658203123,0,3.9658065820312283,146.4291534423828,-7.3577124635035185
2023-02-17,103965.80658203123,103965.80658203123,0,3.9658065820312283,149.48617553710938,-5.423606356576394
2023-02-21,103914.25440555571,52362.077930030806,5,3.914254405555706,147.25863647460938,-6.832918023519163
2023-02-22,103835.62460666655,52362.077930030806,5,3.8356246066665545,147.0535888671875,-6.962646830651298
2023-02-23,103408.77959018706,52362.077930030806,5,3.408779590187061,147.0070037841797,-6.992120118951217
2023-02-24,102420.30977970122,52362.077930030806,5,2.420309779701224,145.3666534423828,-8.029931268253065
