ticker,signal,confidence,prediction_value
MOH,VENDER,5.994939096911366,-2.497469548455683
FI,VENDER,5.268803442586869,-2.1344017212934343
IDXX,VENDER,4.797655345166953,-1.8988276725834763
IT,COMPRAR,3.8905670452075345,2.4452835226037672
LYB,VENDER,3.724535631809446,-1.362267815904723
VRSN,COMPRAR,2.6537658680642107,1.8268829340321053
ANET,VENDER,2.2823107343282167,-0.6411553671641083
EMN,VENDER,2.134720298035129,-0.5673601490175646
LKQ,VENDER,1.9216029592285206,-0.4608014796142603
PSKY,COMPRAR,1.8291891063764325,1.4145945531882163
FICO,VENDER,1.803158090344897,-0.40157904517244847
TTD,VENDER,1.696978246470381,-0.3484891232351905
SNPS,VENDER,1.5789479206537076,-0.2894739603268538
BRO,COMPRAR,1.5208040066502435,1.2604020033251218
ALGN,COMPRAR,1.3922628112109097,1.1961314056054548
OTIS,VENDER,1.374109345762536,-0.18705467288126798
APTV,VENDER,1.2204186828338397,-0.11020934141691985
ELV,VENDER,1.1888666043955074,-0.09443330219775375
LOW,VENDER,1.1600038727495783,-0.08000193637478914
LLY,COMPRAR,1.151435189860858,1.075717594930429
TDG,COMPRAR,1.1359854238759044,1.0679927119379522
ACN,VENDER,1.1317538427089442,-0.0658769213544721
EA,COMPRAR,1.1316825923220852,1.0658412961610426
IVZ,VENDER,1.1035512587636962,-0.0517756293818481
BDX,VENDER,1.0829030322842108,-0.04145151614210543
HLT,VENDER,1.0605119651215895,-0.03025598256079476
BKR,VENDER,1.0422773974652473,-0.02113869873262364
DVN,VENDER,1.040263219919379,-0.020131609959689545
VRTX,COMPRAR,1.0164067605912281,1.008203380295614
FOX,VENDER,1.0120701756129402,-0.006035087806470052
CMI,VENDER,1.0104826060656238,-0.005241303032811895
GPN,VENDER,1.0085734686924746,-0.004286734346237275
BR,VENDER,0.9795933956193809,0.010203302190309571
GWW,VENDER,0.973525038379684,0.01323748081015802
FDS,COMPRAR,0.9694940720377538,0.9847470360188769
UNH,VENDER,0.9574159989204651,0.02129200053976746
COP,VENDER,0.9380024619418185,0.030998769029090767
MDT,VENDER,0.9297402871519013,0.035129856424049366
EXPD,VENDER,0.9108235234936317,0.044588238253184115
GPC,VENDER,0.9099937607364588,0.045003119631770616
WYNN,VENDER,0.9085224593463688,0.04573877032681564
PH,VENDER,0.9061376171479232,0.04693119142603844
