date,ticker,action,shares,price,value,confidence,profit,profit_pct
2024-01-04,AMT,BUY,17,567.0499877929688,9649.489642272949,0.5262879190469308,,
2024-01-04,AWK,BUY,17,567.0499877929688,9649.489642272949,0.5262879190469308,,
2024-01-25,AMT,SELL,17,622.5800170898438,10573.276430236816,,923.786787963867,9.57342639052015
2024-01-25,AWK,SELL,17,622.5800170898438,10573.276430236816,,923.786787963867,9.57342639052015
2024-02-16,AMT,BUY,18,546.6599731445312,9849.719396118164,1.0,,
2024-02-16,AWK,BUY,18,546.6599731445312,9849.719396118164,1.0,,
2024-02-21,MMM,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,ABT,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,AES,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,APD,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,ABNB,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,AKAM,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,ALB,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-21,ARE,BUY,62,164.2899932861328,10196.165563323973,0.5013546821844813,,
2024-02-22,MMM,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,ABT,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,AES,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,APD,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,ABNB,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,AKAM,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,ALB,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-02-22,ARE,SELL,62,181.86000061035156,11264.044717803956,,1067.8791544799824,10.473340667605356
2024-03-19,MMM,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,ABT,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,AES,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,APD,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,ABNB,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,AKAM,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,ALB,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-03-19,ARE,BUY,62,181.4199981689453,11259.287926361083,0.5372665187303374,,
2024-05-16,MMM,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,ABT,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,AES,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,APD,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,ABNB,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,AKAM,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,ALB,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-05-16,ARE,SELL,62,162.6199951171875,10072.35725756836,,-1186.9306687927237,-10.541791599571704
2024-06-14,AMT,SELL,18,525.3099975585938,9446.124376098633,,-403.59502001953115,-4.097528099923237
2024-06-14,AWK,SELL,18,525.3099975585938,9446.124376098633,,-403.59502001953115,-4.097528099923237
