date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2023-01-03,100000.0,100000.0,0,0.0,103.82987976074219,4.9642969032841044
2023-01-04,100000.0,100000.0,0,0.0,105.37434387207031,6.525635411153652
2023-01-05,100000.0,100000.0,0,0.0,104.98585510253906,6.132902118553929
2023-01-06,100000.0,100000.0,0,0.0,106.4355697631836,7.598455968905893
2023-01-09,100000.0,100000.0,0,0.0,106.26500701904297,7.42602970242201
2023-01-10,100000.0,100000.0,0,0.0,107.87580108642578,9.054422869479728
2023-01-11,100000.0,100000.0,0,0.0,107.21253967285156,8.383914841354102
2023-01-12,100000.0,100000.0,0,0.0,105.99421691894531,7.152281023037843
2023-01-13,100000.0,100000.0,0,0.0,108.04061889648438,9.221041434287901
2023-01-17,100000.0,100000.0,0,0.0,107.9263916015625,9.105566122881715
2023-01-18,100000.0,100000.0,0,0.0,106.13697814941406,7.296602024041876
2023-01-19,100000.0,100000.0,0,0.0,106.41301727294922,7.575657076271858
2023-01-20,100000.0,100000.0,0,0.0,107.38385009765625,8.557096957458477
2023-01-23,100000.0,100000.0,0,0.0,108.51652526855469,9.702147430473795
2023-01-24,100000.0,100000.0,0,0.0,107.10783386230469,8.278065043482187
2023-01-25,100000.0,100000.0,0,0.0,105.65155029296875,6.805870514321732
2023-01-26,100000.0,100000.0,0,0.0,105.71817779541016,6.873225970807861
2023-01-27,100000.0,100000.0,0,0.0,104.65216064453125,5.795561805283578
2023-01-30,100000.0,100000.0,0,0.0,104.51889038085938,5.660835466808867
2023-01-31,100000.0,100000.0,0,0.0,105.22325134277344,6.372892085807136
2023-02-01,100000.0,100000.0,0,0.0,106.43204498291016,7.594892677837928
2023-02-02,100000.0,100000.0,0,0.0,106.8413314819336,8.008650930288908
2023-02-03,100000.0,100000.0,0,0.0,106.40349578857422,7.566031562737607
2023-02-06,100000.0,100000.0,0,0.0,105.4135971069336,6.565317516228775
2023-02-07,100000.0,100000.0,0,0.0,106.5938491821289,7.758464705910484
2023-02-08,100000.0,100000.0,0,0.0,104.89010620117188,6.036107090625298
2023-02-09,100000.0,100000.0,0,0.0,102.86273956298828,3.986589993692502
2023-02-10,100000.0,100000.0,0,0.0,102.94839477539062,4.073181051744701
2023-02-13,100000.0,100000.0,0,0.0,103.29104614257812,4.419576134958336
2023-02-14,100000.0,100000.0,0,0.0,102.09175872802734,3.207185630959364
2023-02-15,100000.0,100000.0,0,0.0,102.11080169677734,3.2264366580278647
2023-02-16,100000.0,100000.0,0,0.0,100.96861267089844,2.071768384229511
2023-02-17,100000.0,100000.0,0,0.0,101.5968246459961,2.7068440332074006
2023-02-21,100000.0,100000.0,0,0.0,98.65572357177734,-0.2663907147113509
2023-02-22,100000.0,100000.0,0,0.0,97.74195861816406,-1.190139216702235
2023-02-23,100000.0,100000.0,0,0.0,97.60871887207031,-1.3248347041720288
2023-02-24,100000.0,100000.0,0,0.0,95.61942291259766,-3.3358651724702315
2023-02-27,100000.0,100000.0,0,0.0,94.9626693725586,-3.999794223797204
2023-02-28,100000.0,100000.0,0,0.0,96.81871032714844,-2.123474668471248
2023-03-01,100000.0,100000.0,0,0.0,95.97158813476562,-2.97985228847355
2023-03-02,100000.0,100000.0,0,0.0,97.68485260009766,-1.2478691596541025
2023-03-03,100000.0,100000.0,0,0.0,99.41715240478516,0.5033572834826305
2023-03-06,100000.0,100000.0,0,0.0,97.79907989501953,-1.1323938482479146
2023-03-07,100000.0,100000.0,0,0.0,95.16255187988281,-3.797727854338828
2023-03-08,100000.0,100000.0,0,0.0,94.6104965209961,-4.355814820545101
2023-03-09,100000.0,100000.0,0,0.0,93.13517761230469,-5.8472526640228395
2023-03-10,100000.0,100000.0,0,0.0,92.2880630493164,-6.703622571273915
2023-03-13,100000.0,100000.0,0,0.0,93.45879364013672,-5.520100895126479
2023-03-14,100000.0,100000.0,0,0.0,93.80144500732422,-5.173705811912843
2023-03-15,100000.0,100000.0,0,0.0,93.08758544921875,-5.895364806191672
2023-03-16,100000.0,100000.0,0,0.0,94.25831604003906,-4.711843130044235
2023-03-17,100000.0,100000.0,0,0.0,92.33564758300781,-6.655518141856309
